,region,country
0,Northern Africa,Algeria
1,Northern Africa,"Egypt, Arab Rep."
2,Northern Africa,Libya
3,Northern Africa,Morocco
4,Northern Africa,Tunisia
5,Northern Africa,Western Sahara
6,Eastern Africa,Burundi
7,Eastern Africa,Comoros
8,Eastern Africa,Djibouti
9,Eastern Africa,Eritrea
10,Eastern Africa,Ethiopia
11,Eastern Africa,Kenya
12,Eastern Africa,Madagascar
13,Eastern Africa,Malawi
14,Eastern Africa,Mauritius
15,Eastern Africa,Mayotte
16,Eastern Africa,Mozambique
17,Eastern Africa,Réunion
18,Eastern Africa,Rwanda
19,Eastern Africa,Somalia
20,Eastern Africa,Sudan
21,Eastern Africa,Uganda
22,Eastern Africa,Tanzania
23,Eastern Africa,Zambia
24,Eastern Africa,Zimbabwe
25,Middle Africa,Angola
26,Middle Africa,Cameroon
27,Middle Africa,Central African Republic
28,Middle Africa,Chad
29,Middle Africa,"Congo, Rep."
30,Middle Africa,"Congo, Dem. Rep."
31,Middle Africa,Equatorial Guinea
32,Middle Africa,Gabon
33,Middle Africa,Sao Tome and Principe
34,Southern Africa,Botswana
35,Southern Africa,Lesotho
36,Southern Africa,Namibia
37,Southern Africa,South Africa
38,Southern Africa,Eswatini
39,Western Africa,Benin
40,Western Africa,Burkina Faso
41,Western Africa,Cabo Verde
42,Western Africa,Cote d'Ivoire
43,Western Africa,"Gambia, The"
44,Western Africa,Ghana
45,Western Africa,Guinea
46,Western Africa,Guinea-Bissau
47,Western Africa,Liberia
48,Western Africa,Mali
49,Western Africa,Mauritania
50,Western Africa,Niger
51,Western Africa,Nigeria
52,Western Africa,Senegal
53,Western Africa,Sierra Leone
54,Western Africa,Togo
